timestamp,switch,in_port,out_port,src_mac,dst_mac,action,notes
2025-11-12T18:12:12.584504+00:00,1,31,2,14:cc:20:51:33:ea,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:14.170480+00:00,1,2,22,44:65:0d:56:cc:d3,70:5a:0f:e4:9b:c0,forward,
2025-11-12T18:12:15.475347+00:00,1,22,2,70:5a:0f:e4:9b:c0,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:17.009577+00:00,1,2,12,44:65:0d:56:cc:d3,74:c6:3b:29:d7:1d,forward,
2025-11-12T18:12:18.615551+00:00,1,12,2,74:c6:3b:29:d7:1d,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:20.153659+00:00,1,2,8,44:65:0d:56:cc:d3,e8:ab:fa:19:de:4f,forward,
2025-11-12T18:12:21.467599+00:00,1,8,2,e8:ab:fa:19:de:4f,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:23.074244+00:00,1,2,7,44:65:0d:56:cc:d3,00:62:6e:51:27:2e,forward,
2025-11-12T18:12:24.690390+00:00,1,7,2,00:62:6e:51:27:2e,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:26.285929+00:00,1,2,29,44:65:0d:56:cc:d3,d0:a6:37:df:a1:e1,forward,
2025-11-12T18:12:27.861036+00:00,1,29,2,d0:a6:37:df:a1:e1,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:29.443812+00:00,1,2,26,44:65:0d:56:cc:d3,74:2f:68:81:69:42,forward,
2025-11-12T18:12:31.116284+00:00,1,26,2,74:2f:68:81:69:42,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:32.691435+00:00,1,2,19,44:65:0d:56:cc:d3,d0:73:d5:01:83:08,forward,
2025-11-12T18:12:34.301549+00:00,1,19,2,d0:73:d5:01:83:08,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:35.793268+00:00,1,2,27,44:65:0d:56:cc:d3,ac:bc:32:d4:6f:2f,forward,
2025-11-12T18:12:37.331662+00:00,1,27,2,ac:bc:32:d4:6f:2f,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:38.962707+00:00,1,2,30,44:65:0d:56:cc:d3,f4:5c:89:93:cc:85,forward,
2025-11-12T18:12:40.302421+00:00,1,30,2,f4:5c:89:93:cc:85,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:41.884513+00:00,1,2,24,44:65:0d:56:cc:d3,30:8c:fb:b6:ea:45,forward,
2025-11-12T18:12:43.539571+00:00,1,24,2,30:8c:fb:b6:ea:45,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:44.741161+00:00,1,2,14,44:65:0d:56:cc:d3,18:b4:30:25:be:e4,forward,
2025-11-12T18:12:46.382098+00:00,1,14,2,18:b4:30:25:be:e4,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:47.982340+00:00,1,2,15,44:65:0d:56:cc:d3,70:ee:50:03:b8:ac,forward,
2025-11-12T18:12:50.135497+00:00,1,15,2,70:ee:50:03:b8:ac,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:51.758843+00:00,1,2,3,44:65:0d:56:cc:d3,70:ee:50:18:34:43,forward,
2025-11-12T18:12:53.386986+00:00,1,3,2,70:ee:50:18:34:43,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:54.945280+00:00,1,2,21,44:65:0d:56:cc:d3,e0:76:d0:33:bb:85,forward,
2025-11-12T18:12:56.494837+00:00,1,21,2,e0:76:d0:33:bb:85,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:58.104520+00:00,1,2,23,44:65:0d:56:cc:d3,08:21:ef:3b:fc:e3,forward,
2025-11-12T18:12:59.757175+00:00,1,23,2,08:21:ef:3b:fc:e3,44:65:0d:56:cc:d3,forward,
2025-11-12T18:13:01.370797+00:00,1,2,5,44:65:0d:56:cc:d3,00:16:6c:ab:6b:88,forward,
2025-11-12T18:13:02.995383+00:00,1,5,2,00:16:6c:ab:6b:88,44:65:0d:56:cc:d3,forward,
2025-11-12T18:13:04.615296+00:00,1,2,1,44:65:0d:56:cc:d3,d0:52:a8:00:67:5e,forward,
2025-11-12T18:13:06.328188+00:00,1,1,2,d0:52:a8:00:67:5e,44:65:0d:56:cc:d3,forward,
2025-11-12T18:13:07.926652+00:00,1,2,11,44:65:0d:56:cc:d3,50:c7:bf:00:56:39,forward,
2025-11-12T18:13:09.166236+00:00,1,11,2,50:c7:bf:00:56:39,44:65:0d:56:cc:d3,forward,
2025-11-12T18:13:10.590619+00:00,1,2,4,44:65:0d:56:cc:d3,f4:f2:6d:93:51:f1,forward,
2025-11-12T18:13:12.103393+00:00,1,4,2,f4:f2:6d:93:51:f1,44:65:0d:56:cc:d3,forward,
2025-11-12T18:13:13.617114+00:00,1,2,20,44:65:0d:56:cc:d3,18:b7:9e:02:20:44,forward,
2025-11-12T18:13:15.306082+00:00,1,20,2,18:b7:9e:02:20:44,44:65:0d:56:cc:d3,forward,
2025-11-12T18:13:16.833651+00:00,1,2,16,44:65:0d:56:cc:d3,00:24:e4:1b:6f:96,forward,
2025-11-12T18:13:18.539022+00:00,1,16,2,00:24:e4:1b:6f:96,44:65:0d:56:cc:d3,forward,
